id	candidate
13127	Trump
13129	Trump
13131	Trump
13133	Clinton
13135	Clinton
13137	Trump
13139	Trump
13141	Clinton
13143	Trump
13145	Trump
13147	Trump
13149	Trump
13151	Trump
13153	Trump
13155	Trump
13157	Trump
13159	Trump
13161	Trump
13163	Clinton
13165	Trump
13167	Trump
13169	Trump
13171	Trump
13173	Trump
13175	Trump
13177	Trump
13179	Trump
13181	Trump
13183	Trump
13185	Clinton
13187	Trump
13189	Trump
13191	Trump
13193	Clinton
13195	Trump
13197	Trump
13199	Trump
13201	Trump
13205	Trump
13207	Trump
13209	Clinton
13211	Trump
13213	Trump
13215	Clinton
13217	Trump
13219	Trump
13221	Trump
13223	Trump
13225	Trump
13227	Trump
13229	Trump
13231	Trump
13233	Trump
13235	Clinton
13237	Trump
13239	Trump
13241	Trump
13243	Trump
13245	Clinton
13247	Clinton
13249	Trump
13251	Trump
13253	Trump
13255	Trump
13257	Trump
13259	Clinton
13261	Clinton
13263	Clinton
13265	Clinton
13267	Trump
13269	Trump
13271	Trump
13273	Clinton
13275	Trump
13277	Trump
13279	Trump
13281	Trump
13283	Trump
13285	Trump
13287	Trump
13289	Trump
13291	Trump
13293	Trump
13295	Trump
13297	Trump
13299	Trump
13301	Clinton
13303	Trump
13305	Trump
13307	Trump
13309	Trump
13311	Trump
13313	Trump
13315	Clinton
13317	Trump
13319	Trump
13321	Trump
15000	Clinton
15001	Clinton
15003	Clinton
15005	Clinton
15007	Clinton
15009	Clinton
16000	Trump
16001	Trump
16003	Clinton
16005	Trump
16007	Trump
16009	Trump
16011	Trump
16013	Clinton
16015	Trump
16017	Trump
16019	Trump
16021	Trump
16023	Trump
16025	Trump
16027	Trump
16029	Trump
16031	Trump
16033	Trump
16035	Trump
16037	Trump
16039	Trump
16041	Trump
16043	Trump
16045	Trump
16047	Trump
16049	Trump
16051	Clinton
16053	Trump
16055	Trump
16057	Clinton
16059	Trump
16061	Trump
16063	Trump
16065	Trump
16067	Trump
16069	Trump
16071	Trump
16073	Trump
16075	Trump
16077	Trump
16079	Trump
16081	Trump
16083	Trump
16085	Trump
16087	Trump
17000	
17001	Clinton
17003	Trump
17005	Trump
17007	Trump
17009	Trump
17011	Trump
17013	Trump
17015	Trump
17017	Trump
17019	Clinton
17021	Trump
17023	Trump
17025	Trump
17027	Trump
17029	Trump
17031	Trump
17033	Trump
17035	Trump
17037	Trump
17039	Trump
17041	Trump
17043	Clinton
17045	Trump
17047	Trump
17049	Trump
17051	Trump
17053	Trump
17055	Trump
17057	Trump
17059	Trump
17061	Clinton
17063	Trump
17065	Trump
17067	Clinton
17069	Trump
17071	Trump
17073	Trump
17075	Trump
17077	Trump
17079	Trump
17081	Clinton
17083	Trump
17085	Trump
17087	Trump
17089	Clinton
17091	Trump
17093	Trump
17095	Trump
17097	Clinton
17099	Trump
17101	Trump
17103	Trump
17105	Trump
17107	Trump
17109	Trump
17111	Trump
17113	Trump
17115	Clinton
17117	Trump
17119	Trump
17121	Trump
17123	Trump
17125	Trump
17127	Trump
17129	Trump
17131	Trump
17133	Trump
17135	Clinton
17137	Trump
17139	Trump
17141	Trump
17143	Clinton
17145	Clinton
17147	Trump
17149	Trump
17151	Trump
17153	Clinton
17155	Trump
17157	Trump
17159	Trump
17161	Clinton
17163	Trump
17165	Trump
17167	Trump
17169	Trump
17171	Trump
17173	Trump
17175	Trump
17177	Trump
17179	Trump
17181	Trump
17183	Trump
17185	Trump
17187	Clinton
17189	Trump
17191	Trump
17193	Trump
17195	Trump
17197	Clinton
17199	Trump
17201	Trump
17203	Trump
18000	Trump
18001	Clinton
18003	Trump
18005	Trump
18007	Trump
18009	Trump
18011	Trump
18013	Trump
18015	Trump
18017	Trump
18019	Trump
18021	Trump
18023	Trump
18025	Trump
18027	Trump
18029	Trump
18031	Trump
18033	
18035	Trump
18037	Trump
18039	Trump
18041	Trump
18043	Trump
18045	Trump
18047	Trump
18049	Trump
18051	Trump
18053	Trump
18055	Clinton
18057	Trump
18059	Clinton
18061	Trump
18063	Trump
18065	Trump
18067	Trump
18069	Trump
18071	Trump
18073	Trump
18075	Trump
18077	Clinton
18079	Trump
18081	Trump
18083	Trump
18085	Trump
18087	Trump
18089	Clinton
18091	
18093	Trump
18095	Trump
18097	Trump
18099	Trump
18101	Trump
18103	Trump
18105	Trump
18107	Clinton
18109	Trump
18111	Trump
18113	Trump
18115	Trump
18117	Clinton
18119	Trump
18121	Trump
18123	Clinton
18125	Trump
18127	Trump
18129	Trump
18131	Clinton
18133	Trump
18135	Trump
18137	Trump
18139	Trump
18141	Clinton
18143	Trump
18145	Trump
18147	Trump
18149	Trump
18151	Trump
18153	Trump
18155	Trump
18157	Trump
18159	Trump
18161	Trump
18163	Trump
